Feature,Mean,Std
OG0005092,0.021424606,0.011200925
OG0001402,0.017370503,0.011147251
OG0004070,0.0149013605,0.0077551557
OG0000420,0.011592713,0.002135705
OG0004271,0.010473485,0.002181899
OG0000354,0.010461395,0.007581826
OG0000427,0.010447362,0.005395643
OG0003909,0.010357102,0.0047798543
OG0004118,0.0103437165,0.006054504
OG0003953,0.0102516655,0.0063817636
OG0004535,0.009714909,0.0010728888
OG0004090,0.008874137,0.00018905527
OG0004075,0.008663656,0.003122703
OG0004063,0.008588481,0.0040094224
OG0004767,0.0084653525,2.0647658e-05
OG0003825,0.00840449,0.004116383
OG0001061,0.008182966,0.0036277547
OG0004651,0.007927576,0.0055945227
OG0000760,0.007914533,0.00320363
OG0003820,0.0077163996,0.0051915874
OG0004043,0.007617941,0.005521046
OG0004237,0.00749465,0.0035381585
OG0000514,0.00744108,0.0025963236
OG0004506,0.007176284,0.0011021513
OG0000838,0.00712423,0.0029203617
OG0003809,0.0069397916,0.004032074
OG0000094,0.006591892,0.004564536
OG0003755,0.0063344757,0.0017256029
OG0000102,0.0062850886,0.00012910701
OG0004491,0.006156426,0.0044618268
OG0003915,0.0061362856,0.0023413207
OG0003754,0.005999459,0.001502575
OG0003666,0.005636554,0.0004661355
OG0003156,0.005612856,0.0037901779
OG0004196,0.0055511687,0.0018535143
OG0000602,0.005522403,0.00019912851
OG0003923,0.005462248,0.0016299967
OG0003793,0.0054219468,0.0039295196
OG0002262,0.0053961654,0.0016635903
OG0003597,0.00535295,0.0017692351
OG0003722,0.005287143,0.0022312591
OG0003901,0.0052831434,0.0029877736
OG0003824,0.0052431803,0.00011654919
OG0003922,0.00519696,0.0026818218
OG0001064,0.005176494,0.0029550765
OG0003989,0.0051719234,0.00034682418
OG0000695,0.0051506516,5.0403523e-05
OG0003910,0.0051405067,0.0008225841
OG0003878,0.0050728573,0.0011090004
OG0003775,0.0049143755,0.00034662776
OG0003858,0.0049059363,0.0011883394
OG0002759,0.004839808,0.00030886303
OG0004066,0.0048270617,0.0014118501
OG0002974,0.0048192646,0.0010554038
OG0000900,0.0047950377,0.00093354826
OG0000816,0.0047384594,0.0010901124
OG0001005,0.004731874,0.0010319058
OG0002900,0.0047270968,0.00068943884
OG0003839,0.004673991,0.0012557566
OG0003780,0.004666446,0.00047578622
OG0003673,0.004658102,0.0015036365
OG0003868,0.004548758,0.0013754907
OG0004117,0.0045081605,0.0027784728
OG0004430,0.004501143,0.0016847065
OG0002368,0.0044950116,0.0032577273
OG0004030,0.0044833366,0.001993027
OG0000440,0.0043390202,0.0015021508
OG0003830,0.004291276,0.0020021582
OG0003876,0.004284541,0.0021641448
OG0005971,0.0042419536,0.0030743254
OG0003619,0.004169275,0.0030216537
OG0003846,0.004162395,0.0012235333
OG0003747,0.0041357907,0.0011171704
OG0000108,0.0040884954,0.0012800196
OG0003735,0.0040708077,0.0013961744
OG0000470,0.0040485696,0.00044316993
OG0003674,0.0040345998,0.0015498218
OG0000520,0.0039831502,0.0004861778
OG0000273,0.003889023,0.0009288491
OG0003864,0.0038620199,0.0027989708
OG0001569,0.0037718,0.0004041246
OG0004056,0.003749099,0.00089585996
OG0003460,0.0037102816,0.0015964225
OG0001989,0.0037040547,0.0017744268
OG0004349,0.0036708997,0.00010569863
OG0001607,0.0036550523,0.0020826731
OG0004459,0.003637881,0.0026365307
OG0004272,0.0036288307,0.00013891103
OG0003588,0.003615324,0.00070960965
OG0002976,0.0035946176,0.00019898644
OG0003149,0.0035394533,0.00029016132
OG0004101,0.0035002523,0.0010538228
OG0004004,0.0034329507,0.00047103412
OG0003821,0.0034144288,0.00032956986
OG0004644,0.0033717158,0.0024436286
OG0004165,0.0033403668,0.00097514805
OG0003488,0.0033297942,0.00059857796
OG0002359,0.0033297867,0.0003412734
OG0004036,0.0033261373,5.9127335e-05
OG0000334,0.003307646,0.0022303483
OG0003914,0.003286359,0.0011786046
OG0003866,0.0032469335,0.002353193
OG0000802,0.003235531,0.0005088358
OG0001169,0.003232886,6.348772e-05
OG0003850,0.0032083127,0.0023252035
OG0004035,0.003205176,0.0009865508
OG0003204,0.0031850946,0.00045491944
OG0003656,0.0031682795,0.0016480176
OG0003317,0.003157447,0.0017375902
OG0002211,0.0031185355,0.0022601357
OG0004481,0.0031180126,0.000757451
OG0004434,0.0031140556,0.0014084226
OG0000053,0.0031079173,0.0017940587
OG0005152,0.0031003237,0.0022469384
OG0000486,0.0030849935,0.0006893089
OG0004310,0.003045384,0.0019363567
OG0004263,0.0030243036,0.0017745453
OG0001874,0.0029876211,0.00031023813
OG0002603,0.0029820788,0.0003514473
OG0000168,0.00293939,0.001052696
OG0002344,0.0029383162,0.0021295247
OG0004008,0.0029153225,0.0007020762
OG0000668,0.0028933338,0.0017039735
OG0000632,0.002881895,0.00079060346
OG0000501,0.0028705203,0.0020803907
OG0000088,0.0028609633,0.00015890412
OG0002075,0.0028607568,0.000121172394
OG0002311,0.0028593878,0.00022455513
OG0004151,0.0028556653,0.00064776646
OG0004269,0.0028188252,0.0018137796
OG0003785,0.0027432994,0.00027363352
OG0003904,0.0027417191,0.00012522221
OG0003996,0.0027135557,0.0019666296
OG0004015,0.00268142,0.0002963636
OG0004549,0.002676036,0.00052977813
OG0003478,0.0026745657,0.0010904464
OG0003925,0.002663852,0.0012706175
OG0003122,0.002644717,0.0012299609
OG0004357,0.0026419577,0.00095592247
OG0003247,0.0026160935,0.0008129146
OG0003207,0.0026074061,0.001221003
OG0003800,0.00259012,0.00038066242
OG0003580,0.0025679758,0.0006122538
OG0003612,0.0025667974,0.00055656
OG0004721,0.0025538641,0.0018508942
OG0000004,0.0025186846,0.00032317248
OG0004300,0.0025148364,0.0016805988
OG0003652,0.002495856,0.0012485242
OG0000524,0.0024829262,0.0012993588
OG0003883,0.002475304,0.001028569
OG0003859,0.002470315,0.0017903444
OG0004044,0.0024569193,7.961351e-05
OG0000391,0.00244911,0.000317247
OG0000330,0.0024266392,0.0005199019
OG0003847,0.0024259689,0.001058473
OG0003574,0.0024231728,0.0002632761
OG0003905,0.002405823,0.0007569195
OG0004032,0.0023874058,0.00045351114
OG0004389,0.0023746951,0.00093678886
OG0003970,0.0023556026,0.0010766085
OG0003784,0.0023517103,0.0017043857
OG0004087,0.0023483783,0.001358234
OG0004997,0.0023223858,0.0016831338
OG0000434,0.0023084881,0.0010576707
OG0003882,0.0022978606,0.0008905999
OG0003682,0.0022890125,0.0014741115
OG0003884,0.0022645635,5.8807233e-05
OG0003854,0.0022641553,0.00096629513
OG0002286,0.002254764,0.0010665937
OG0003167,0.002251282,0.00039759328
OG0003881,0.0022189636,0.00035970387
OG0003981,0.0022139142,0.00032780546
OG0003962,0.002206484,0.0007904996
OG0004391,0.002204836,0.0013484698
OG0003648,0.0021939105,2.1442687e-05
OG0000982,0.002178047,0.00012363282
OG0003221,0.002168218,0.0003171988
OG0003927,0.0021394058,0.0015505201
OG0003193,0.002128512,2.3512228e-05
OG0001241,0.0021010896,0.00072639354
OG0004003,0.002099287,0.0012134002
OG0003573,0.0020825027,0.00012046246
OG0003845,0.0020720807,0.00017137633
OG0003530,0.002065182,0.0003289631
OG0003803,0.0020586958,0.0014920251
OG0003871,0.0020586487,0.0011258231
OG0001164,0.002049224,0.0011482441
OG0000039,0.002042329,3.1170096e-06
OG0001053,0.0020414204,0.00014198365
OG0003840,0.0020384693,0.0007975522
OG0003886,0.0020340725,0.0001791379
OG0004416,0.002026857,0.0005146315
OG0000645,0.002007281,0.0006697717
OG0003788,0.0019813925,0.0007884391
OG0003812,0.0019414824,0.0008064309
OG0000661,0.0019334607,0.0014012626
OG0004296,0.0019272508,0.00038486594
OG0004609,0.0019105618,0.0013846655
OG0004249,0.0019032363,0.00074803596
OG0003921,0.0018984813,0.00012993212
OG0003758,0.0018652617,0.00021129729
OG0000477,0.0018565345,0.0009668549
OG0004051,0.0018433268,0.0009772173
OG0000268,0.0018157308,0.0013159378
OG0004228,0.001800483,0.0013048879
OG0003696,0.0017931327,0.000394889
OG0000717,0.0017859024,0.00078350125
OG0004029,0.0017681739,0.00023800744
OG0003730,0.0017631564,0.00029580167
OG0003676,0.0017504933,0.0012686576
OG0000468,0.0017489587,0.00014303804
OG0003610,0.0017450432,0.0012647071
OG0003761,0.001736716,0.000858155
OG0003801,0.0017239468,0.001249419
OG0002074,0.0017238989,0.0012493833
OG0003992,0.0017020938,0.0012335808
OG0001888,0.001684099,0.00042294475
OG0004019,0.0016813135,0.00039915962
OG0004201,0.0016788909,0.0004344086
OG0004189,0.001668055,0.0008534221
OG0004097,0.001661852,0.0006296654
OG0004132,0.0016332371,0.0011836769
OG0004315,0.0016312744,0.0011822544
OG0004089,0.0016038187,0.0002696303
OG0004062,0.0015842818,0.00059941405
OG0003790,0.0015496591,0.0011231035
OG0004702,0.001546572,0.0011208669
OG0000242,0.0015396605,6.4585816e-05
OG0003779,0.0015385136,0.000802492
OG0003862,0.0015285554,0.0005760835
OG0003841,0.0015220172,0.0004178613
OG0002881,0.0015203113,0.0003010015
OG0003752,0.0015059495,0.00042885367
OG0004247,0.0015027323,0.00072692125
OG0003354,0.0014924526,0.0007066698
OG0004255,0.0014822397,0.0004053369
OG0003429,0.001476258,0.0004251331
OG0003896,0.0014741564,0.0010683839
OG0001238,0.0014522593,0.000106173815
OG0003741,0.0014302055,0.0010365313
OG0003899,0.0014292431,0.0008476861
OG0004170,0.001410621,0.0004384585
OG0000738,0.0014021754,1.648609e-05
OG0003838,0.0014020405,0.00030375458
OG0004250,0.0013930522,0.00063597044
OG0003999,0.0013888158,0.0010065344
OG0004173,0.0013832002,0.00026606134
OG0000769,0.0013610428,0.0009864069
OG0003831,0.0013325019,0.0009657221
OG0003895,0.0013298163,0.00030173996
OG0000772,0.0013254485,0.00096060964
OG0000611,0.0013087165,0.00094848307
OG0000848,0.0012955044,0.00082592433
OG0004285,0.0012941131,0.00093789917
OG0000745,0.0012700541,0.0006720274
OG0003526,0.0012692111,0.00019151022
OG0003616,0.0012436961,0.00090136053
OG0003814,0.00124113,9.092793e-05
OG0003805,0.0012409092,0.00089934055
OG0003867,0.0012387487,0.00089777505
OG0006304,0.0012297037,0.0008912196
OG0004177,0.0012078433,0.0008753757
OG0004026,0.001187172,0.00016944339
OG0003944,0.0011779967,0.00046750766
OG0003948,0.0011706273,3.5728714e-05
OG0000146,0.0011693861,0.0008475042
OG0003931,0.001142601,0.0005129672
OG0004302,0.0011372174,3.364985e-05
OG0000779,0.001136071,0.00015211428
OG0004451,0.0011280549,0.00016194904
OG0004337,0.0011205082,0.00021822177
OG0003663,0.0011200159,0.00025308874
OG0004326,0.001109232,0.0005148102
OG0003960,0.0010869007,0.00078772404
OG0004408,0.0010857786,0.00078691053
OG0003903,0.0010848866,0.00042443047
OG0000601,0.0010773222,0.00012743953
OG0000633,0.0010767226,0.0007803474
OG0004064,0.0010734604,0.00021360874
OG0004012,0.0010699248,0.000356149
OG0001801,0.0010468116,0.00016617826
OG0000797,0.0010282495,0.00057540083
OG0003956,0.0010260702,0.00037854176
OG0000747,0.0010236008,0.00025431367
OG0000545,0.0010143693,0.0007351573
OG0003614,0.0010100447,0.00073202257
OG0004059,0.0009966145,0.00021581097
OG0003691,0.0009935268,2.6814327e-05
OG0004323,0.00096727326,0.00040097535
OG0004275,0.00096369506,0.00022153746
OG0000029,0.00095653883,0.00030617844
OG0001498,0.0009502132,5.9504833e-05
OG0003373,0.0009220009,0.0006682134
OG0000325,0.0009023744,0.00015402024
OG0000712,0.00086613314,0.00016722844
OG0003584,0.00086434116,0.00019234933
OG0003329,0.00085765566,2.168806e-05
OG0003447,0.0008566984,0.00045878577
OG0000637,0.0008382185,1.3098861e-05
OG0003165,0.0008136928,0.0005897182
OG0002986,0.000811657,0.00037616788
OG0000475,0.00079372624,0.00057524786
OG0000573,0.000791237,0.0005734438
OG0004254,0.00077561924,0.00024749566
OG0003928,0.00076872413,0.0003384737
