ID,Target_Value,Set
Alloascoidea_africana,0,Train
Allodekkera_sacchari,0,Train
Ambrosiozyma_kamigamensis,0,Train
Ambrosiozyma_maleeae,1,Train
Ambrosiozyma_neoplatypodis,1,Train
Ambrosiozyma_oregonensis,1,Train
Ambrosiozyma_philentoma,1,Train
Ambrosiozyma_platypodis,1,Train
Ambrosiozyma_pseudovanderkliftii,0,Train
Ambrosiozyma_vanderkliftii,1,Train
Ascobotryozyma_americana,0,Train
Ascobotryozyma_cognata,0,Train
Ascoidea_asiatica,0,Train
Ascoidea_rubescens,0,Train
Ashbya_aceri,0,Train
Barnettozyma_californica,1,Train
Barnettozyma_sp._yHDO593,0,Train
Barnettozyma_vustinii,1,Train
Barnettozyma_wickerhamii,1,Train
Blastobotrys_adeninivorans_LS3,0,Train
Blastobotrys_adeninivorans_NRRL_Y-17692,1,Train
Blastobotrys_americanus,1,Train
Blastobotrys_attinorum,1,Train
Blastobotrys_buckinghamii,0,Train
Blastobotrys_capitulatus,0,Train
Blastobotrys_illinoisensis,0,Train
Blastobotrys_indianensis,1,Train
Blastobotrys_mokoenaii,0,Train
Blastobotrys_niveus,0,Train
Blastobotrys_peoriensis,1,Train
Blastobotrys_persicus,0,Train
Blastobotrys_serpentis,0,Train
Brettanomyces_anomalus_NRRL_Y-17522,0,Train
Brettanomyces_custersianus,0,Train
Candida_adriatica,1,Train
Candida_andamanensis,1,Train
Candida_anglica,0,Train
Candida_anutae,0,Train
Candida_atlantica,1,Train
Candida_awuae,0,Train
Candida_baotianmanensis,1,Train
Candida_berkhoutiae,0,Train
Candida_blackwelliae,1,Train
Candida_blattae,1,Train
Candida_bohioensis,1,Train
Candida_broadrunensis,1,Train
Candida_buenavistaensis,0,Train
Candida_californica,0,Train
Candida_carvajalis,0,Train
Candida_cerambycidarum,1,Train
Candida_chilensis,0,Train
Candida_conglobata,1,Train
Candida_coquimbonensis,0,Train
Candida_dajiaensis,1,Train
Candida_danieliae,1,Train
Candida_dendrica,0,Train
Candida_dendronema,0,Train
Candida_digboiensis,0,Train
Candida_dosseyi,1,Train
Candida_dubliniensis_CD36,0,Train
Candida_dubliniensis_NRRL_Y-17841,0,Train
Candida_duobushaemuli,0,Train
Candida_ecuadorensis,1,Train
Candida_endomychidarum,0,Train
Candida_ethanolica,0,Train
Candida_ezoensis,0,Train
Candida_flosculorum,1,Train
Candida_freyschussii,1,Train
Candida_golubevii,0,Train
Candida_gorgasii,1,Train
Candida_heveicola,0,Train
Candida_hispaniensis,0,Train
Candida_incommunis,1,Train
Candida_inconspicua,0,Train
Candida_insectalens,0,Train
Candida_insectorum,1,Train
Candida_intermedia,1,Train
Candida_inulinophila,0,Train
Candida_jianshihensis,0,Train
Candida_kanchanaburiensis,0,Train
Candida_kazuoi,0,Train
Candida_khao-thaluensis,0,Train
Candida_konsanensis,0,Train
Candida_labiduridarum,1,Train
Candida_lessepsii,1,Train
Candida_maesae,0,Train
Candida_maris,0,Train
Candida_mattraensis,0,Train
Candida_mesenterica,0,Train
Candida_metapsilosis,1,Train
Candida_middelhoveniana,0,Train
Candida_montana,0,Train
Candida_morakotiae,1,Train
Candida_multigemmis,0,Train
Candida_namnaoensis,0,Train
Candida_nanaspora,1,Train
Candida_neerlandica,1,Train
Candida_nemodendra,1,Train
Candida_nonsorbophila,1,Train
Candida_norvegica,0,Train
Candida_odintsovae,1,Train
Candida_orthopsilosis_90-125,0,Train
Candida_orthopsilosis_NRRL_Y-48468,1,Train
Candida_ortonii,0,Train
Candida_ovalis,1,Train
Candida_palmioleophila,1,Train
Candida_palmyrensis,0,Train
Candida_parablackwelliae,0,Train
Candida_phyllophila,0,Train
Candida_picinguabensis,1,Train
Candida_pignaliae,0,Train
Candida_ponderosae,0,Train
Candida_pseudofarinosa,0,Train
Candida_pseudoglaebosa,1,Train
Candida_pseudohaemuli,0,Train
Candida_pseudointermedia,0,Train
Candida_pseudoviswanathii,1,Train
Candida_psychrophila,0,Train
Candida_quercuum,1,Train
Candida_railenensis,0,Train
Candida_rhizophorensis,0,Train
Candida_robnettiae,0,Train
Candida_sake,1,Train
Candida_saopauloensis,1,Train
Candida_savonica,0,Train
Candida_silvicultrix,0,Train
Candida_sithepensis,1,Train
Candida_sojae_GF41,0,Train
Candida_solani,0,Train
Candida_songkhlaensis,1,Train
Candida_sp._NRRL_Y-12764,0,Train
