Feature,Mean_Signed,Std_MeanAcrossFolds,Impact_Magnitude,Impact_Direction,Fold_Level_Impact,Sample_Level_Impact
OG0004063,-0.009095063,0.00915195,0.009095063,Negative,0.009095068089663982,0.05777905508875847
OG0004271,-0.12282872,0.007880223,0.12282872,Negative,0.12282872200012207,0.592010498046875
OG0003931,-0.0050994116,0.0079275565,0.0050994116,Negative,0.005605635698884726,0.030364587903022766
OG0003854,0.005873494,0.006004484,0.005873494,Positive,0.0058734966441988945,0.052888594567775726
OG0000440,-0.002871091,0.00051752396,0.002871091,Negative,0.0028710898477584124,0.06213069707155228
OG0003846,0.0075133634,0.008900083,0.0075133634,Positive,0.007513388060033321,0.027831077575683594
OG0003953,-0.012128981,0.012062878,0.012128981,Negative,0.01212896965444088,0.10995691269636154
OG0003871,-0.01530942,0.011922227,0.01530942,Negative,0.015309426933526993,0.060582373291254044
OG0005561,0.0,0.0,0.0,Neutral,0.0,0.0
OG0003920,-0.0010676687,0.0039468324,0.0010676687,Negative,0.0027908259071409702,0.031090782955288887
OG0003834,0.0056012394,0.007921348,0.0056012394,Positive,0.005601243115961552,0.043387748301029205
OG0003883,0.006571571,0.015090858,0.006571571,Positive,0.010670853778719902,0.07358665764331818
OG0003881,-0.02689436,0.029103208,0.02689436,Negative,0.026894355192780495,0.11229341477155685
OG0003800,0.0025004873,0.0009111552,0.0025004873,Positive,0.002500487957149744,0.031292323023080826
OG0003905,-0.0021811915,0.015781136,0.0021811915,Negative,0.011158956214785576,0.0795367881655693
OG0003895,-0.03155052,0.037885733,0.03155052,Negative,0.03155054152011871,0.08053027838468552
OG0004003,-0.0047037345,0.007187764,0.0047037345,Negative,0.0050825271755456924,0.038363657891750336
OG0003948,-0.004966336,0.005493533,0.004966336,Negative,0.004966335836797953,0.06199123337864876
OG0004029,-0.01745519,0.028378917,0.01745519,Negative,0.02006692811846733,0.1451026350259781
OG0003329,0.004569084,0.0045355144,0.004569084,Positive,0.004569076932966709,0.027895910665392876
OG0003962,-0.010054619,0.011794894,0.010054619,Negative,0.01005461998283863,0.054617222398519516
OG0003886,-0.010437204,0.011196845,0.010437204,Negative,0.010437197983264923,0.044759515672922134
OG0000602,-0.014430119,0.008827418,0.014430119,Negative,0.014430135488510132,0.11802052706480026
OG0004173,-0.007519135,0.008589757,0.007519135,Negative,0.007519127801060677,0.10765630751848221
OG0000695,-0.01220669,0.005100461,0.01220669,Negative,0.012206701561808586,0.058007583022117615
OG0003530,-0.0056470423,0.024817776,0.0056470423,Negative,0.0175488218665123,0.07303785532712936
OG0000325,-0.028662492,0.021009404,0.028662492,Negative,0.028662467375397682,0.10052929073572159
OG0004535,-0.016741805,0.01209124,0.016741805,Negative,0.0167418010532856,0.20439857244491577
OG0003821,-0.008622034,0.035032228,0.008622034,Negative,0.024771519005298615,0.05751439183950424
OG0004051,-0.014490318,0.0059965947,0.014490318,Negative,0.014490335248410702,0.03600636497139931
OG0003694,0.0,0.0,0.0,Neutral,0.0,0.0
OG0004189,-0.038001608,0.045998644,0.038001608,Negative,0.03800157830119133,0.14135974645614624
OG0004118,0.0070184907,0.00051490375,0.0070184907,Positive,0.007018485106527805,0.03592865169048309
OG0000816,-0.026761144,0.04568162,0.026761144,Negative,0.032301776111125946,0.13331417739391327
OG0000039,-0.018830268,0.02279029,0.018830268,Negative,0.018830275163054466,0.07772459089756012
OG0003944,-0.011012077,0.012105413,0.011012077,Negative,0.011012081056833267,0.04414348304271698
OG0003752,-0.0035239197,0.007655604,0.0035239197,Negative,0.00541333295404911,0.0980018675327301
OG0000668,0.008612539,0.0008126979,0.008612539,Positive,0.008612522855401039,0.024514472112059593
OG0000520,-0.042521194,0.025765888,0.042521194,Negative,0.042521197348833084,0.14983408153057098
OG0004250,0.003551451,0.009938296,0.003551451,Positive,0.007027449086308479,0.044337037950754166
OG0003825,-0.059007946,0.07157814,0.059007946,Negative,0.059007953852415085,0.2035282701253891
OG0003867,-0.0035180694,0.0049753017,0.0035180694,Negative,0.003518064972013235,0.03147580474615097
OG0003676,0.00054105284,0.00076516427,0.00054105284,Positive,0.000541052664630115,0.016346197575330734
OG0005297,0.0,0.0,0.0,Neutral,0.0,0.0
OG0000354,-0.0063623874,0.008997775,0.0063623874,Negative,0.006362392567098141,0.04726916924118996
OG0004315,-0.0014771526,0.0020890092,0.0014771526,Negative,0.0014771538553759456,0.005790440831333399
OG0000745,0.017099682,0.020460235,0.017099682,Positive,0.01709967851638794,0.04973781108856201
OG0000769,-0.002531547,0.0035801483,0.002531547,Negative,0.0025315498933196068,0.010477113537490368
OG0000420,-0.017388716,0.01471464,0.017388716,Negative,0.017388712614774704,0.06589251011610031
OG0003849,-0.0068048225,0.009623473,0.0068048225,Negative,0.006804808974266052,0.02726796083152294
OG0004090,-0.02666533,0.008353652,0.02666533,Negative,0.026665328070521355,0.13179580867290497
OG0004310,-0.037249677,0.033910926,0.037249677,Negative,0.03724968433380127,0.1735394299030304
OG0000334,-0.009925448,0.009289825,0.009925448,Negative,0.00992544461041689,0.07497125118970871
OG0003996,0.0024119446,0.0034110048,0.0024119446,Positive,0.0024119431618601084,0.018870048224925995
OG0004269,-0.0045721345,0.00068246416,0.0045721345,Negative,0.0045721326023340225,0.03691393882036209
